Date,IBEX_Close
2000-01-03,11610.0
2000-01-04,11206.599609375
2000-01-05,10863.099609375
2000-01-07,11102.400390625
2000-01-10,11173.2998046875
2000-01-11,11012.400390625
2000-01-12,10851.7998046875
2000-01-13,10931.900390625
2000-01-14,11184.0
2000-01-17,11285.599609375
2000-01-18,11066.2998046875
2000-01-19,11120.7001953125
2000-01-20,11047.599609375
2000-01-21,10969.2998046875
2000-01-24,10955.0
2000-01-25,10863.5
2000-01-26,11031.400390625
2000-01-27,11206.599609375
2000-01-28,11009.2998046875
2000-01-31,10835.099609375
2000-02-01,10970.0
2000-02-02,11195.599609375
2000-02-03,11544.099609375
2000-02-04,11580.099609375
2000-02-07,11506.7998046875
2000-02-08,11834.7998046875
2000-02-09,11939.5
2000-02-10,12020.599609375
2000-02-11,12432.599609375
2000-02-14,12458.599609375
2000-02-15,12165.099609375
2000-02-16,12235.099609375
2000-02-17,12326.7001953125
2000-02-18,12368.0
2000-02-21,12260.2998046875
2000-02-22,12076.900390625
2000-02-23,12312.2998046875
2000-02-24,12352.2998046875
2000-02-25,12690.900390625
2000-02-28,12467.0
2000-02-29,12585.7998046875
2000-03-01,12538.7001953125
2000-03-02,12709.599609375
2000-03-03,12745.0
2000-03-06,12816.7998046875
2000-03-07,12667.2001953125
2000-03-08,12668.2998046875
2000-03-09,12563.2001953125
2000-03-10,12513.7001953125
2000-03-13,12359.7001953125
2000-03-14,12555.7998046875
2000-03-15,12279.5
2000-03-16,12260.900390625
2000-03-17,12369.7998046875
2000-03-20,12362.400390625
2000-03-21,12308.2998046875
2000-03-22,12172.2001953125
2000-03-23,12073.2998046875
2000-03-24,12213.7998046875
2000-03-27,12162.0
2000-03-28,12211.099609375
2000-03-29,12088.599609375
2000-03-30,11833.400390625
2000-03-31,11935.0
2000-04-03,11686.400390625
2000-04-04,11584.2001953125
2000-04-05,11374.599609375
2000-04-06,11607.900390625
2000-04-07,11790.599609375
2000-04-10,11768.7001953125
2000-04-11,11515.2998046875
2000-04-12,11542.099609375
2000-04-13,11647.2001953125
2000-04-14,11363.900390625
2000-04-17,11217.2998046875
2000-04-18,11261.5
2000-04-19,11339.7998046875
