Date,Open,High,Low,Close,Volume,Vol30,RegimeFlag,EVT_DotCom_Crisis,EVT_Spain_Credit_Boom,EVT_Global_Financial_Crisis,EVT_Euro_Sovereign_Crisis,EVT_Post_Crisis_Recovery,EVT_Brexit_2016,EVT_LateCycle_Weakness,EVT_COVID_Pandemic,EVT_Reopening_Recovery,EVT_Ukraine_War,EVT_ECB_Rate_Hike_Cycle,EVT_Profits_Buybacks_Consolidation,MACRO_ECB_Deposit_Rate,MACRO_Inflation_HICP_EA,MACRO_IBEX35,Dividends,Adj Close,MA_10,MA_50,MA_ratio,ROC_10,Close_lag1,Close_lag3,Close_lag5,Vol30_lag5,RegimeFlag_lag5,MACRO_ECB_Deposit_Rate_lag1,MACRO_Inflation_HICP_EA_lag1,MACRO_IBEX35_lag1,MACRO_IBEX35_lag2
2000-03-27,14.689775466918944,14.85310173034668,14.50723361968994,14.785849571228027,4186207,1.5159457286234803,0,1,0,0,0,0,0,0,0,0,0,0,0,2.467741935483871,1.9870967741935484,12162.0,0,4.420767307281494,14.619640922546386,13.875256614685059,0.05364832727298885,2.46338329232354,14.737812042236328,14.87231731414795,14.641737937927246,3.063662486845505,0.0,2.443548387096774,1.9774193548387096,12213.7998046875,12073.2998046875
2000-03-28,14.891531944274902,14.920353889465332,14.728204727172852,14.805065155029297,10406762,1.439938869409188,0,1,0,0,0,0,0,0,0,0,0,0,0,2.475806451612903,1.9903225806451608,12211.099609375,0,4.426513671875,14.680167865753173,13.9298268699646,0.053865780443147715,4.26252210860425,14.785849571228027,14.766634941101074,14.805065155029297,3.003247016188498,0.0,2.467741935483871,1.9870967741935484,12162.0,12213.7998046875
2000-03-29,14.795456886291504,14.85310173034668,14.391944885253906,14.55527114868164,9968320,1.472306221040993,0,1,0,0,0,0,0,0,0,0,0,0,0,2.4838709677419355,1.9935483870967745,12088.599609375,0,4.351827144622803,14.739733982086182,13.979785556793212,0.054360520925422096,4.267032989855246,14.805065155029297,14.737812042236328,14.87231731414795,2.952720400024148,0.0,2.475806451612903,1.9903225806451608,12211.099609375,12162.0
2000-03-30,14.430374145507812,14.55527114868164,14.3054780960083,14.401552200317385,9376775,1.4842734958028545,0,1,0,0,0,0,0,0,0,0,0,0,0,2.491935483870968,1.9967741935483871,11833.400390625,0,4.305864810943604,14.712833213806153,14.02705415725708,0.04888974184178774,-1.8336565539659788,14.55527114868164,14.785849571228027,14.766634941101074,2.936818515645177,0.0,2.4838709677419355,1.9935483870967745,12088.599609375,12211.099609375
2000-03-31,14.478411674499512,14.75702667236328,14.276655197143556,14.75702667236328,18359604,1.55432858543707,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5,2.0,11935.0,0,4.412149429321289,14.712833213806153,14.08642812728882,0.0444686957443694,0.0,14.401552200317385,14.805065155029297,14.737812042236328,2.616030199187066,0.0,2.491935483870968,1.9967741935483871,11833.400390625,12088.599609375
2000-04-03,14.526449203491213,14.814672470092772,14.526449203491213,14.795456886291504,19424675,1.5506482478987105,0,1,0,0,0,0,0,0,0,0,0,0,0,2.525,1.97,11686.400390625,0,4.42363977432251,14.728205108642578,14.145417804718017,0.04119972361156976,1.0498681851562885,14.75702667236328,14.55527114868164,14.785849571228027,1.5159457286234803,0.0,2.5,2.0,11935.0,11833.400390625
2000-04-04,14.795456886291504,15.189361572265623,14.74742031097412,15.160539627075195,14535557,1.5873607631934552,0,1,0,0,0,0,0,0,0,0,0,0,0,2.533333333333333,1.96,11584.2001953125,0,4.532793998718262,14.763752555847168,14.206521110534668,0.03922363828392106,2.4010328108900136,14.795456886291504,14.401552200317385,14.805065155029297,1.439938869409188,0.0,2.525,1.97,11686.400390625,11935.0
2000-04-05,14.90113925933838,15.218184471130373,14.622523307800291,15.035642623901367,11364317,1.5214339418064575,0,1,0,0,0,0,0,0,0,0,0,0,0,2.5416666666666665,1.95,11374.599609375,0,4.4954514503479,14.78008508682251,14.257632675170898,0.03664369980308457,1.0981833315111489,15.160539627075195,14.75702667236328,14.55527114868164,1.472306221040993,0.0,2.533333333333333,1.96,11584.2001953125,11686.400390625
2000-04-06,15.064464569091797,15.2950439453125,14.824278831481934,15.131717681884766,10826369,1.501593108224161,0,1,0,0,0,0,0,0,0,0,0,0,0,2.55,1.94,11607.900390625,0,4.524175643920898,14.816593360900878,14.300866146087646,0.03606265589405022,2.472348928783563,15.035642623901367,14.795456886291504,14.401552200317385,1.4842734958028545,0.0,2.5416666666666665,1.95,11374.599609375,11584.2001953125
2000-04-07,15.09328842163086,15.362296104431152,15.006820678710938,15.256613731384276,10040715,1.5084214654632937,0,1,0,0,0,0,0,0,0,0,0,0,0,2.558333333333333,1.93,11790.599609375,0,4.561519622802734,14.868473529815674,14.347558307647706,0.036306890064374375,3.520208343417197,15.131717681884766,15.160539627075195,14.75702667236328,1.55432858543707,0.0,2.55,1.94,11607.900390625,11374.599609375
2000-04-10,15.208577156066896,15.333474159240724,15.09328842163086,15.275829315185549,10332321,1.4457512187248345,0,1,0,0,0,0,0,0,0,0,0,0,0,2.583333333333333,1.9,11768.7001953125,0,4.567264556884766,14.917471504211425,14.398477725982666,0.03604504504613115,3.313842343634943,15.256613731384276,15.035642623901367,14.795456886291504,1.5506482478987105,0.0,2.558333333333333,1.93,11790.599609375,11607.900390625
2000-04-11,15.016427993774414,15.333474159240724,15.016427993774414,15.179755210876465,7834289,1.415074932483382,0,1,0,0,0,0,0,0,0,0,0,0,0,2.591666666666667,1.89,11515.2998046875,0,4.538538455963135,14.954940509796142,14.444017009735107,0.035372673662505294,2.5308234170106747,15.275829315185549,15.131717681884766,15.160539627075195,1.5873607631934552,0.0,2.583333333333333,1.9,11768.7001953125,11790.599609375
2000-04-12,15.227791786193848,15.371904373168944,14.88192367553711,14.987606048583984,12323261,1.4292774005720563,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6,1.88,11542.099609375,0,4.481088638305664,14.998173999786378,14.486481895446778,0.035322040784824926,2.970297808168998,15.179755210876465,15.256613731384276,15.035642623901367,1.5214339418064575,0.0,2.591666666666667,1.89,11515.2998046875,11768.7001953125
2000-04-13,14.87231731414795,15.160539627075195,14.795456886291504,15.160539627075195,8297541,1.439284549206041,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6083333333333334,1.87,11647.2001953125,0,4.532793998718262,15.074072742462159,14.530291805267334,0.03742395159591361,5.270177937771758,14.987606048583984,15.275829315185549,15.131717681884766,1.501593108224161,0.0,2.6,1.88,11542.099609375,11515.2998046875
2000-04-14,15.04525089263916,15.227791786193848,14.699382781982422,14.833887100219728,9983813,1.4976168188454873,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6166666666666667,1.86,11363.900390625,0,4.4351301193237305,15.081758785247803,14.57141164779663,0.03502386383603029,0.5208395265720478,15.160539627075195,15.179755210876465,15.256613731384276,1.5084214654632937,0.0,2.6083333333333334,1.87,11647.2001953125,11542.099609375
2000-04-17,14.170973777770996,14.593701362609863,14.103720664978027,14.411160469055176,15947213,1.5876222092979673,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6416666666666666,1.83,11217.2998046875,0,4.308738708496094,15.04332914352417,14.608880672454834,0.029738655603402497,-2.597394728596669,14.833887100219728,14.987606048583984,15.275829315185549,1.4457512187248345,0.0,2.6166666666666667,1.86,11363.900390625,11647.2001953125
2000-04-18,14.603307723999023,14.6609525680542,14.324692726135254,14.420766830444336,7676434,1.5877661160621486,0,1,0,0,0,0,0,0,0,0,0,0,0,2.65,1.82,11261.5,0,4.311614513397217,14.969351863861084,14.636934394836425,0.022710866910896854,-4.8795940964377005,14.411160469055176,15.160539627075195,15.179755210876465,1.415074932483382,0.0,2.6416666666666666,1.83,11217.2998046875,11363.900390625
2000-04-19,14.488018989562988,14.63213062286377,14.228617668151855,14.50723361968994,10201237,1.584766539972387,0,1,0,0,0,0,0,0,0,0,0,0,0,2.658333333333333,1.81,11339.7998046875,0,4.337464332580566,14.916510963439942,14.673058376312255,0.016591809347716424,-3.5143759227919125,14.420766830444336,14.833887100219728,14.987606048583984,1.4292774005720563,0.0,2.65,1.82,11261.5,11217.2998046875
2000-04-20,14.545663833618164,14.785849571228027,14.411160469055176,14.699382781982422,6203518,1.6024307979539725,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665,1.8,11502.0,0,4.394914150238037,14.873277473449708,14.7168683052063,0.010627883935611315,-2.8571435774269127,14.50723361968994,14.411160469055176,15.160539627075195,1.439284549206041,0.0,2.658333333333333,1.81,11339.7998046875,11261.5
2000-04-21,14.699382781982422,14.699382781982422,14.699382781982422,14.699382781982422,0,1.5590216295928558,0,1,0,0,0,0,0,0,0,0,0,0,0,2.675,1.79,11486.7,0,4.394914150238037,14.817554378509522,14.741463356018066,0.005161700752075671,-3.6523894437700655,14.699382781982422,14.420766830444336,14.833887100219728,1.4976168188454873,0.0,2.6666666666666665,1.8,11502.0,11339.7998046875
